,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,primary_pix,total_pix,primary_deposition,total_deposition,ke
166,61,35,0.29998779296875,True,True,True,[2],[0.62091506],94,112,20.27174949645996,26.61477279663086,31.694761598843353
167,61,37,0.29998779296875,True,False,True,[85 86],[0.5714286  0.01239669],26,26,7.219640254974365,7.219640254974365,28.42104950957718
168,61,64,0.6708272171878565,True,False,True,[39],[0.88],70,70,13.457886695861816,13.457886695861816,35.782355634386874
169,62,70,0.29998779296875,True,True,True,[37],[0.7651515],112,112,22.82232093811035,22.82232093811035,25.44522286104695
170,62,89,0.29998779296875,True,True,True,[95 96],[0.74050635 0.03135889],130,144,31.436382293701172,37.4911003112793,48.820570528483046
171,64,46,0.29998779296875,True,False,True,[47],[0.8272727],98,98,20.293725967407227,20.293725967407227,26.5187843443231
172,64,47,0.29998779296875,True,True,True,[87 88],[0.66129035 0.001287  ],89,89,19.58832359313965,19.58832359313965,39.90005235666186
173,65,33,0.29998779296875,False,True,True,[30 32],[0.75       0.00376506],121,121,23.439035415649414,23.439035415649414,27.842028006609915
174,65,36,0.29998779296875,True,False,True,[56 57],[0.6034483 0.0421286],58,58,15.232019424438477,15.232019424438477,23.40075949498855
175,65,44,inf,False,False,True,[26 27],[0.71929824 0.21428572],42,55,10.774746894836426,14.81649398803711,41.59669073828431
176,65,75,0.29998779296875,True,True,True,[58 60],[8.5567009e-01 4.0650406e-04],91,91,21.77907371520996,21.77907371520996,35.200038845227965
177,65,106,0.2999267578125,True,False,True,[61 65],[0.09448819 0.0282503 ],123,123,29.796653747558594,29.796653747558594,49.32684167565211
178,65,123,0.29998779296875,True,True,True,[22],[0.7953488],154,184,33.21452713012695,42.29928970336914,48.18425732146192
179,66,86,0.2999267578125,True,True,True,[90 91],[0.80597013 0.01223242],108,125,23.45089340209961,28.032730102539062,30.498847524192417
180,67,34,1.5,True,True,True,[42],[0.8717949],92,114,26.61583137512207,33.179718017578125,41.62795128882498
181,67,35,0.29998779296875,True,True,True,[104 105],[0.89855075 0.01336898],69,69,15.450533866882324,15.450533866882324,40.42074097046875
182,67,83,0.29998779296875,True,True,True,[77 78],[0.7972973  0.00108992],132,132,27.500015258789062,27.500015258789062,41.359272881323264
183,67,99,0.29998779296875,True,True,True,[90],[0.8172043],160,160,29.510467529296875,29.510467529296875,34.97611619960803
184,68,100,0.29998779296875,True,True,True,[0],[0.8172043],166,179,30.2092227935791,34.05660629272461,43.12581725935291
185,71,35,0.29998779296875,True,True,True,[92 93],[0.21428572 0.06352941],80,80,15.125884056091309,15.125884056091309,20.45134668082977
186,71,36,0.3000030517578125,True,False,True,[90 91],[0.82323235 0.03672316],189,189,37.778099060058594,37.778099060058594,44.733077202163365
187,71,75,0.3000030517578125,True,False,True,[42],[0.79856116],122,122,24.827030181884766,24.827030181884766,46.570440029270486
188,71,93,0.29998779296875,True,True,True,[79 80],[0.73888886 0.00340909],102,170,18.645078659057617,34.293304443359375,38.460528922318055
189,71,101,0.2999267578125,True,True,True,[82 83],[0.72       0.00671642],163,163,32.064544677734375,32.064544677734375,50.657083843284624
190,72,33,0.300018310546875,True,True,True,[46 45],[0.375      0.03703704],27,27,5.472012519836426,5.472012519836426,49.58664561302251
191,72,132,0.29998779296875,True,True,True,[103],[0.8235294],80,96,26.566410064697266,32.8477897644043,50.79967200800624
192,73,57,0.2999267578125,True,True,True,[11],[0.8812785],177,200,38.179473876953125,42.79697799682617,51.701554788637644
193,73,73,0.29998779296875,True,True,True,[39],[0.74698794],31,75,8.082530975341797,18.627201080322266,21.070763620554583
194,74,157,0.29998779296875,True,True,True,[146 147],[0.79577464 0.0024667 ],128,128,29.80023956298828,29.80023956298828,31.497766919865885
195,75,25,0.300018310546875,True,True,True,[27 28],[0.70068026 0.05030488],142,142,31.96971893310547,31.96971893310547,40.381454115912916
196,75,43,0.3000030517578125,True,True,True,[23 24 62],[0.85882354 0.01204819 0.00632911],157,157,36.240718841552734,36.240718841552734,43.97448641639454
197,75,79,0.29998779296875,True,False,True,[25 26],[0.7793427  0.00772201],205,205,34.501163482666016,34.501163482666016,42.74822137495965
198,76,30,inf,False,False,True,[44],[0.8148148],70,91,26.321269989013672,33.25739669799805,45.21334123599766
199,76,33,0.29998779296875,True,True,True,[33 35],[0.5833333  0.20338982],33,59,6.777115345001221,15.285872459411621,20.828731989533694
200,76,44,0.29998779296875,True,False,True,[110],[0.8333333],71,71,21.39064598083496,21.39064598083496,35.34879692109192
201,76,53,0.29998779296875,True,False,True,[46 47],[0.8493724  0.00275482],211,211,45.00121307373047,45.00121307373047,49.92399732779594
202,77,29,0.29998779296875,True,True,True,[22 18 23],[0.5671642  0.3255814  0.00223714],81,126,16.324859619140625,27.785842895507812,41.73370457453292
203,77,44,0.300048828125,True,True,True,[79 80],[7.8787881e-01 4.3936732e-04],59,59,13.965380668640137,13.965380668640137,20.094046454036967
204,77,55,0.2999267578125,True,True,True,[20],[0.7195767],139,176,26.107444763183594,38.18915939331055,46.0159416316861
205,78,27,0.29998779296875,False,True,True,[1 3],[0.775     0.0056338],90,140,18.522314071655273,31.920406341552734,38.447407583847315
206,78,52,1.20001220703125,True,True,True,[26],[0.8652482],137,137,28.92974281311035,28.92974281311035,43.539955213800354
